Model,Test_R2,Test_RMSE,Test_MAE,CV_Mean_R2,CV_Std_R2
Linear Regression,0.9074781005777177,0.20888584633591734,0.1727135899319231,0.9132600270108429,0.010228735725964017
Random Forest,0.8878866692084987,0.22994044723739485,0.18790248963788017,0.8846801925144779,0.0074261672642666025
Gradient Boosting,0.8879845626984477,0.2298400372838449,0.18734614666289737,0.8939579453480959,0.013304689300517702
XGBoost,0.8757668434106108,0.24205023252494695,0.1998165281594222,0.8688721601380006,0.009693474063812834
